repeat,concurrency,workload,role,view,operation,calls,input_items,attempts,completed_calls_per_second,successful_calls_per_second,completed_input_items_per_second,successful_input_items_per_second,mean_us,p50_lower_us,p50_upper_us,p95_lower_us,p95_upper_us,p99_lower_us,p99_upper_us,outcomes_json,reasons_json,client_cpu_cores,server_cpu_cores
0,1,point-r050,old,get,get,92685,92685,92685,9268.495676246766,9268.495676246766,9268.495676246766,9268.495676246766,47.49922326158494,46.592,47.103,57.856,58.367,65.024,65.535,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92685, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92685}",0.14189676377937774,2.1687021570480827
0,1,point-r050,old,put,put,92378,92378,92378,9237.79569056831,9237.79569056831,9237.79569056831,9237.79569056831,60.371042401870575,58.88,59.391,72.704,73.727,82.944,83.967,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 92378, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 92378}",0.14189676377937774,2.1687021570480827
0,1,point-r050,new,combined,read+write,183622,183622,183622,18362.111588268912,18362.111588268912,18362.111588268912,18362.111588268912,54.349555254816956,53.248,53.759,70.656,71.679,79.872,80.895,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 183622, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 183622}",0.14187697635068278,2.1714417581372603
0,1,point-r050,new,get,get,91927,91927,91927,9192.655738281886,9192.655738281886,9192.655738281886,9192.655738281886,47.67716990655629,47.104,47.615,58.368,58.879,65.536,66.559,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 91927, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 91927}",0.14187697635068278,2.1714417581372603
0,1,point-r050,new,put,put,91695,91695,91695,9169.455849987027,9169.455849987027,9169.455849987027,9169.455849987027,61.038822585746225,59.904,60.415,73.728,74.751,83.968,84.991,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 91695, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 91695}",0.14187697635068278,2.1714417581372603
0,1,point-r050,redis,combined,read+write,1722864,1722864,1722864,172286.36866110953,172286.36866110953,172286.36866110953,172286.36866110953,5.725663734920459,5.632,5.695,5.888,5.951,7.36,7.423,"{""read_failure"": 0, ""success"": 1722864, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 1722864}",0.607659393900174,0.5291964408585108
0,1,point-r050,redis,get,get,860623,860623,860623,86062.28434527048,86062.28434527048,86062.28434527048,86062.28434527048,5.712385201185652,5.568,5.631,5.952,6.015,7.36,7.423,"{""read_failure"": 0, ""success"": 860623, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 860623}",0.607659393900174,0.5291964408585108
0,1,point-r050,redis,set,set,862241,862241,862241,86224.08431583906,86224.08431583906,86224.08431583906,86224.08431583906,5.738917351413352,5.632,5.695,5.888,5.951,7.36,7.423,"{""read_failure"": 0, ""success"": 862241, ""unknown_write"": 0}","{""data_integrity"": 0, ""deadline"": 0, ""io"": 0, ""protocol"": 0, ""server_error"": 0, ""success"": 862241}",0.607659393900174,0.5291964408585108
0,1,point-r100,old,combined,read+write,263357,263357,263357,26335.681428077456,26335.681428077456,26335.681428077456,26335.681428077456,37.85660306731926,36.352,36.863,44.544,45.055,51.712,52.223,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 263357, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 263357}",0.1924648232959677,1.6470044352180195
0,1,point-r100,old,get,get,263357,263357,263357,26335.681428077456,26335.681428077456,26335.681428077456,26335.681428077456,37.85660306731926,36.352,36.863,44.544,45.055,51.712,52.223,"{""client_rejected"": 0, ""read_failure"": 0, ""refused"": 0, ""success"": 263357, ""unknown_write"": 0}","{""admission_bytes"": 0, ""admission_count"": 0, ""admission_oversize"": 0, ""client_capacity"": 0, ""client_input"": 0, ""deadline"": 0, ""not_leader"": 0, ""protocol"": 0, ""read_apply_unconfirmed"": 0, ""read_quorum_unconfirmed"": 0, ""rpc_status"": 0, ""success"": 263357}",0.1924648232959677,1.6470044352180195
