arm,node,span,status,count
trace-c1-r1,2,leader_response_driver_step_to_quorum_confirmed,ambiguous_repeated_context_or_term,2
trace-c1-r1,2,leader_response_driver_step_to_quorum_confirmed,observation_loss,1146
trace-c1-r1,2,leader_response_validated_to_driver_step,ambiguous_repeated_context_or_term,2
trace-c1-r1,2,leader_response_validated_to_driver_step,observation_loss,1146
trace-c1-r1,2,outbound_accepted_to_outbound_dequeued,matched,1007
trace-c1-r1,2,outbound_accepted_to_outbound_dequeued,reversed,1
trace-c1-r1,2,outbound_accepted_to_outbound_dequeued,unmatched,142
trace-c1-r1,2,outbound_offered_to_outbound_accepted,matched,1149
trace-c1-r1,2,outbound_offered_to_outbound_accepted,unmatched,1
trace-c1-r1,2,outbound_offered_to_outbound_dequeued,matched,1009
trace-c1-r1,2,outbound_offered_to_outbound_dequeued,unmatched,141
trace-c1-r1,2,quorum_confirmed_to_completion_eligible,observation_loss,527
trace-c1-r1,2,quorum_confirmed_to_completion_eligible,unmatched,47
trace-c1-r1,3,follower_driver_step_to_response_offered,ambiguous_repeated_context_or_term,1
trace-c1-r1,3,follower_driver_step_to_response_offered,observation_loss,573
trace-c1-r1,3,follower_validated_to_driver_step,ambiguous_repeated_context_or_term,1
trace-c1-r1,3,follower_validated_to_driver_step,observation_loss,573
trace-c1-r1,3,inbox_admitted_to_inbox_drained,matched,575
trace-c1-r1,3,inbox_offered_to_inbox_admitted,matched,575
trace-c1-r1,3,inbox_offered_to_inbox_drained,matched,575
trace-c1-r1,3,outbound_accepted_to_outbound_dequeued,matched,565
trace-c1-r1,3,outbound_accepted_to_outbound_dequeued,reversed,3
trace-c1-r1,3,outbound_accepted_to_outbound_dequeued,unmatched,7
trace-c1-r1,3,outbound_offered_to_outbound_accepted,matched,575
trace-c1-r1,3,outbound_offered_to_outbound_dequeued,matched,568
trace-c1-r1,3,outbound_offered_to_outbound_dequeued,unmatched,7
