arm,node,stage,offered,selected,recorded,contended,poisoned,full,exhausted,recorded_group,recorded_heartbeat,recorded_heartbeat_response
trace-c1-r1,1,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,group_admitted,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,group_deferred,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,group_refused,1,1,1,0,0,0,0,1,0,0
trace-c1-r1,1,group_submit,1,1,1,0,0,0,0,1,0,0
trace-c1-r1,1,inbound_validated,146775,575,575,0,0,0,0,0,575,0
trace-c1-r1,1,inbox_admitted,575,575,575,0,0,0,0,0,575,0
trace-c1-r1,1,inbox_drained,575,575,575,0,0,0,0,0,575,0
trace-c1-r1,1,inbox_offered,146775,575,575,0,0,0,0,0,575,0
trace-c1-r1,1,inbox_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,masked_outbound,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,members_uncovered,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,outbound_accepted,575,575,575,0,0,0,0,0,0,575
trace-c1-r1,1,outbound_dequeued,575,575,565,10,0,0,0,0,0,565
trace-c1-r1,1,outbound_offered,146775,575,575,0,0,0,0,0,0,575
trace-c1-r1,1,outbound_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,queue_abandoned,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,quorum_confirmed,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,route_discarded,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,1,unknown_peer,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,completion_eligible,146712,574,535,39,0,0,0,535,0,0
trace-c1-r1,2,driver_step,293550,1150,1105,45,0,0,0,0,0,1105
trace-c1-r1,2,encoding_rejected,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,group_admitted,146712,574,574,0,0,0,0,574,0,0
trace-c1-r1,2,group_closed,0,0,0,0,0,0,0,0,0,0
trace-c1-r1,2,group_deferred,0,0,0,0,0,0,0,0,0,0
